rnbqk2r/pp1pppbp/5np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq - 3 5 | e8g8
rnbq1rk1/pp1pppbp/5np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQ - 4 6 | d2d4
rnbq1rk1/pp1pppbp/5np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQ - 0 6 | c5d4 d7d6
rnbq1rk1/pp1pppbp/5np1/8/2Pp4/2N2NP1/PP2PPBP/R1BQK2R w KQ - 0 7 | f3d4 d1d4
rnbqkb1r/pppp1ppp/4pn2/8/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 2 3 | g1f3 e2e4
rnbqkb1r/pppp1ppp/4pn2/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq - 3 3 | d7d5
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 0 4 | d2d4 e2e3
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 4 | f8b4 d5c4 f8e7 c7c6 c7c5 b8d7
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 1 5 | c4d5 c1g5 e2e3
rnbqk2r/ppp2ppp/4pn2/3P4/1b1P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 5 | e6d5
rnbqk2r/ppp2ppp/5n2/3p4/1b1P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 6 | d1a4 c1g5 c1f4
rnbqk2r/ppp2ppp/5n2/3p4/Qb1P4/2N2N2/PP2PPPP/R1B1KB1R b KQkq - 1 6 | b8c6
r1bqk2r/ppp2ppp/2n2n2/3p4/Qb1P4/2N2N2/PP2PPPP/R1B1KB1R w KQkq - 2 7 | c1g5
r1bqk2r/pppp1ppp/2n2n2/4p3/1bP5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq - 2 5 | e8g8 d7d6
r1bq1rk1/pppp1ppp/2n2n2/4p3/1bP5/2N2NP1/PP1PPPBP/R1BQK2R w KQ - 3 6 | e1g1 c3d5
r1bq1rk1/pppp1ppp/2n2n2/4p3/1bP5/2N2NP1/PP1PPPBP/R1BQ1RK1 b - - 4 6 | e5e4 b4c3 f8e8
r1bq1rk1/pppp1ppp/2n2n2/8/1bP1p3/2N2NP1/PP1PPPBP/R1BQ1RK1 w - - 0 7 | f3g5
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4 | b1d2 c1d2
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/5N2/PP1NPPPP/R1BQKB1R b KQkq - 3 4 | b7b6 a7a5 e8g8 d7d5
rnbqk2r/p1pp1ppp/1p2pn2/8/1bPP4/5N2/PP1NPPPP/R1BQKB1R w KQkq - 0 5 | g2g3 a2a3 e2e3
rnbqk2r/p1pp1ppp/1p2pn2/8/1bPP4/5NP1/PP1NPP1P/R1BQKB1R b KQkq - 0 5 | c8b7
